Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вакуленко,Аарон,Андрійович,male,1953-08-09,Ріелтор,місто Енергодар,"проспект Східний 2-й, буд. 0, Вуглегірськ, 50037",092 870 22 42,zhurbaamaliia@example.net
Ковалюк,Віктор,Юрійович,male,1971-03-17,Правник,хутір Ірпінь,"площа Восьмого березня 2-й, буд. 8 кв. 28, Рівне, 82666",086 658-00-23,romanhavrylyshyn@example.com
Пилипенко,Олесь,Петрович,male,1993-10-13,Адвокат,селище Судак ,"проспект Восьмого Березня Лінія 1-ша, буд. 72, Остер , 83334",091 322 98 98,uzinkevych@example.org
Жук,Петро,Олександрович,male,1945-08-23,Сценарист,хутір Сіверськ,"шосе Левкоєва, буд. 23, Кальміуське, 65294",+380 (84) 873-43-86,vfranchuk@example.org
Штокало,Ярема,Остапович,male,1982-10-28,Агроном,місто Федорівка,"площа Педагогічна, буд. 46 кв. 47, Тульчин, 47244",+380 51 490-53-88,riabovilpriska@example.com
Ющенко,Дмитро,Андрійович,male,1952-03-28,Художник,селище Куп'янськ,"провулок Харківська, буд. 6 кв. 68, Сорокине, 10739",052 160 94 09,solomon93@example.net
Салій,Павло,Дмитрович,male,1994-09-06,Секретар,місто Хоростків,"проспект Виноградна 2-га, буд. 56 кв. 73, Щастя , 79305",+380 27 133-91-67,lahodamariana@example.com
Жученко,Франц,Федорович,male,1939-10-20,Мистецтвознавець,село Вільногірськ,"шосе Левадна, буд. 8, Первомайськ, 23294",+380 16 423-16-53,malyshkolevko@example.org
Гунько,Олег,Іванович,male,1978-11-05,Дипломат,місто Макіївка,"провулок Куликове поле, буд. 32, П'ятихатки, 39686",+380 52 548-65-73,iryna42@example.org
Сіробаба,Веніямин,Вячеславович,male,1994-06-24,Кінорежисер,хутір Нікополь,"узвіз Зелена гірка, буд. 2, Арциз, 82035",+380 04 234-07-51,aartiushenko@example.com
Масляк,Амвросій,Анатолійович,male,1978-12-14,Епідеміолог,селище Герца,"площа Студентський 2-й, буд. 20, Камінь-Каширський, 50771",014 568-46-96,jmakohon@example.net
Забіла,Герман,Сергійович,male,1949-09-10,Кінорежисер,хутір Чуднів,"площа Аптекарський, буд. 5 кв. 4, Подільськ, 97966",042 048-39-44,vasyl66@example.com
Заруба,Степан,Дамирович,male,2003-07-01,Архітектор,хутір Харцизьк,"набережна Південно-Санаторний, буд. 3 кв. 99, Южноукраїнськ, 53185",626-02-78,herman37@example.com
Архипенко,Олег,Григорович,male,1968-05-01,Петрограф,село Шаргород,"сквер Суднобудівний, буд. 9 кв. 29, Скалат, 98971",022 347 81 28,boryshavriushenko@example.net
Вдовиченко,Марко,Вячеславович,male,1939-04-03,Медик,хутір Ясинувата,"шосе Короленка, буд. 56 кв. 098, Перещепине, 05741",+380 (96) 288-60-03,venedyktlukash@example.com
Лупій,Омелян,Андрійович,male,1970-02-16,Стиліст,хутір Саки ,"вулиця Курортний 6-й, буд. 783 кв. 004, Кадіївка, 22463",+380 81 231-99-11,okhrimenkomaksym@example.com
Ковпак,Спас,Дмитрович,male,1941-10-25,Кіноактор,село Олександрівськ,"вулиця Зелений, буд. 83 кв. 62, Глухів, 17197",+380 (42) 611-00-27,tetiana63@example.org
Стельмах,Євген,Анатолійович,male,1981-11-15,Єгер,село Кам'янка-Бузька,"набережна Мала, буд. 4 кв. 6, Генічеськ, 08265",202-70-94,vladyslavrak@example.com
Ґжицька,Орхип,Сергійович,male,1946-11-25,Програміст,село Сватове,"сквер Таїрова, буд. 593, Хрустальний, 92625",288-80-95,klaba@example.com
Швачко,Климент,Андрійович,male,2000-09-22,Мікробіолог,хутір Новояворівськ,"набережна Академіка Панкратової, буд. 3, Глобине, 89759",+380 15 463 44 98,avreliiradchenko@example.net
Корсун,Онисим,Артемович,male,1966-07-01,Правник,хутір Кальміуське,"шосе Мічуріна, буд. 927 кв. 42, Івано-Франківськ, 71461",004 087 39 54,aaron33@example.com
Вовк,Руслан,Опанасович,male,1948-11-20,Мінералог,селище Красноперекопськ,"провулок Східний 1-й, буд. 5, Лисичанськ, 52726",+380 29 850-65-84,odarkakabaliuk@example.com
Шамрай,Єфрем,Миколайович,male,1984-06-04,Головний меркшейдер,село Бережани,"шосе Андросовський, буд. 729 кв. 468, Ходорів, 12553",034 071 11 48,isaienkomyron@example.com
Ткач,Костянтин,Миколайович,male,1981-03-04,Секретар,місто Феодосія,"шосе Чорноморський 12-й, буд. 715, Харцизьк, 15414",+380 25 784-88-73,petro22@example.org
Шевченко,Леон,Анатолійович,male,2003-07-23,Нотаріус,хутір Суми,"провулок Політкаторжан, буд. 855, Ялта, 44920",+380 39 078-19-87,yaleksiichuk@example.org
Баран,Ростислав,Артемович,male,1950-02-21,Професор,місто Петрово-Красносілля,"шосе Хлібна гавань, буд. 9 кв. 159, Алушта, 52788",072 782-69-86,isaievychparmen@example.org
Чаленко,Юстим,Олександрович,male,1990-05-19,Бібліотекар,село Кривий Ріг,"шосе Заводська, буд. 87, Березне, 42130",000 072 85 82,rostyslav52@example.com
Джус,Василь,Дмитрович,male,1969-11-06,Кур'єр,хутір Прип'ять ,"вулиця Жасминна, буд. 7 кв. 000, Кобеляки, 85674",016 668 54 54,nataliia10@example.net
Артюх,Іван,Вікторович,male,1941-06-28,Диригент,селище Теребовля,"провулок Лейтенанта Шмідта, буд. 60, Мостиська, 10720",+380 (89) 540-22-39,mdavymuka@example.com
Пустовіт,Віталій,Остапович,male,1939-01-30,Географ,селище Луцьк,"провулок Мінська, буд. 415, Чуднів, 47457",729-45-07,albertaleksandrenko@example.net
Вітрук,Максим,Олександрович,male,1988-09-14,Промисловець,селище Гнівань,"узвіз Марата, буд. 46 кв. 49, Герца, 35857",724 84 72,sviatoslavademianiuk@example.com
Дашкевич,Хома,Антонович,male,1959-11-18,Кінорежисер,хутір Харцизьк,"проспект Банний, буд. 09 кв. 34, Сніжне, 35233",054 299 76 12,olena13@example.org
Гайдай,Спас,Семенович,male,1951-10-20,Астроном,селище Монастириська,"шосе Керченський 3-й, буд. 84, Васильків, 84719",319 17 17,violettakopytko@example.com
Іващенко,Орхип,Сергійович,male,1986-12-11,Публіцист,селище П'ятихатки,"узвіз Моторний 2-й, буд. 63 кв. 618, Інкерман, 71447",+380 58 272-74-43,aaron00@example.com
Андрощук,Григорій,Григорович,male,1946-05-01,Кінолог,селище Павлоград,"вулиця Деревообробний 5-й, буд. 2, Кременчук, 27045",055 129-70-24,khomahaidabura@example.net
Габелко,Вʼячеслав,Анатолійович,male,1957-09-28,Круп'є,хутір Зіньків,"узвіз Могилівська, буд. 377, Перечин, 21873",+380 38 110-01-97,hunkosolomon@example.com
Фастенко,Марко,Васильович,male,1967-10-20,Історик,місто Докучаєвськ,"вулиця Леваневського тупик, буд. 833, Моспине, 72289",646 29 05,iefrem81@example.org
Дрозд,Ігор,Олександрович,male,1947-02-18,Намотувальник,селище Боково-Хрустальне,"узвіз Тульська, буд. 6 кв. 789, Старий Самбір, 28597",835 41 60,jpelekh@example.com
Савенко,Владислав,Іванович,male,1970-05-23,Кінорежисер,хутір Зугрес,"вулиця Парусна, буд. 882, Лисичанськ, 49458",+380 69 914 94 66,lukianriabovil@example.com
Супруненко,Аврелій,Дмитрович,male,1989-01-20,Драматург,місто Березань ,"парк Івана Франка, буд. 9, Верхньодніпровськ, 71164",920 25 10,mazepanadiia@example.com
Тимченко,Василь,Вячеславович,male,2001-08-07,Доцент,хутір Полонне,"площа Макаренка, буд. 431 кв. 146, Стрий, 67133",044 416 67 32,masokhaartem@example.com
Гунько,Пилип,Опанасович,male,1951-04-01,Дерун,селище Сторожинець,"набережна Ковиловий, буд. 45 кв. 5, Глиняни, 29875",676-13-00,bpavlenko@example.com
Демʼяненко,Орхип,Миколайович,male,1968-11-04,Круп'є,хутір Жидачів,"проспект Толбухіна, буд. 72, Зіньків, 47324",+380 (57) 052-51-88,gokhrymovych@example.org
Гузенко,Михайло,Анатолійович,male,2002-04-10,Музичний редактор,місто Надвірна,"провулок Сабанський, буд. 21, Київ, 18453",052 306-50-48,vladyslavbabak@example.org
Фесенко,Ярослав,Остапович,male,1969-07-03,Музикознавець,хутір Дубровиця,"набережна Сміливий, буд. 500 кв. 315, Зеленодольськ, 35870",042 168 77 21,kolodubzakhar@example.org
Габелко,Марко,Анатолійович,male,1942-09-26,Пекар,селище Старобільськ,"проспект Данила Крижанівського, буд. 2, Васильків, 22556",+380 70 651-47-06,mykytacherednyk@example.com
Абраменко,Назар,Опанасович,male,1948-09-22,Економіст,селище Городенка,"шосе Березова, буд. 1 кв. 743, Долинська, 32357",074 452 55 30,etymchenko@example.net
Власенко,Мирон,Антонович,male,2000-03-21,Письменник,місто Тиврів,"площа Лиманчик 2-й Лінія 8-ма, буд. 01, Ямпіль, 34839",743 33 98,diarosh@example.org
Карась,Гордій,Артемович,male,1941-07-16,Фермер,селище Добропілля,"вулиця Пугачова, буд. 707 кв. 5, Білгород-Дністровський, 74461",+380 50 756 72 32,avhustyn87@example.org
Бабійчук,Микита,Миколайович,male,1956-05-13,Золотар,село Тетіїв,"шосе Східчастий 4-й, буд. 22, Теплодар, 90815",+380 83 818-55-76,ivan54@example.net
Царенко,Остап,Юрійович,male,1991-03-07,Літературознавець,село Трускавець,"узвіз Гвоздичний, буд. 11, Скалат, 51538",711-46-08,iustynasatsiuk@example.net
Сагаль,Климент,Іванович,male,2003-12-27,Сантехнік,селище Рубіжне,"узвіз Десятого квітня, буд. 98 кв. 32, Кам'янка (Черкаська область), 78683",133-65-04,vadym87@example.net
Чабан,Демʼян,Васильович,male,1964-06-20,Модель,місто Марганець ,"площа Богуна, буд. 31 кв. 50, Карлівка, 77308",070 24 56,xirvanets@example.org
Слюсар,Симон,Миколайович,male,1987-10-21,Акушер,селище Краматорськ,"вулиця Гетьманський, буд. 3, Новоград-Волинський, 81405",+380 69 483-05-13,vasylmatviienko@example.org
Баранник,Давид,Дамирович,male,2003-10-05,Скульптор,місто Рахів,"набережна Китобійний 2-й, буд. 797 кв. 31, Корсунь-Шевченківський, 82209",803-23-93,serhiinikoliuk@example.org
Власенко,Олександр,Опанасович,male,1942-09-07,Драматург,селище Тростянець,"узвіз Західний 1-й, буд. 01, Бурштин , 97796",+380 13 213 04 58,myron86@example.net
Бабариченко,Єлисей,Олександрович,male,2004-05-28,Геофізик,село Канів,"площа Достоєвського, буд. 78, Остер , 66345",+380 81 498 73 91,mykhailynaazhazha@example.net
Лупій,Демʼян,Вячеславович,male,2007-02-15,Фрілансер,селище Тисмениця,"площа Балтський 1-й, буд. 631 кв. 7, Новий Калинів, 74067",097 603-63-12,ppanchuk@example.org
Сич,Єлисей,Сергійович,male,1972-10-14,Бізнесмен,місто Погребище,"вулиця Сортувальна 1-ша, буд. 45 кв. 02, Хорол , 57237",211 14 75,zakhar72@example.org
Лаба,Георгій,Васильович,male,1949-03-18,Фармацевт,хутір Долинська,"набережна Ляпідевського, буд. 66 кв. 62, Вінниця, 71564",026 781 43 51,zinkevychmarko@example.com
Проценко,Тарас,Опанасович,male,1940-07-29,Ювелір,місто Бахчисарай,"площа Вільгельма Габсбурга, буд. 77 кв. 1, Прилуки, 76090",+380 61 043-21-93,abramenkoustym@example.net
Байдак,Андрій,Вікторович,male,1999-02-23,Соціолог,селище Гола Пристань,"шосе Агрономічна, буд. 727 кв. 28, Тульчин, 66949",050 877 94 71,chornovilieva@example.com
Затовканюк,Леон,Артемович,male,1953-06-22,Ді-джей,хутір Дрогобич,"провулок Ланжеронівський узвіз, буд. 88, Обухів, 71167",322-98-10,kalchenkoiustym@example.com
Корж,Амвросій,Григорович,male,1957-07-01,Письменник,селище Херсон,"шосе Ланжерон, буд. 431 кв. 70, П'ятихатки, 20726",+380 60 965 90 43,piashchenko@example.org
Колісниченко,Азар,Антонович,male,1942-07-13,Медик,хутір Ківерці,"площа Полтавська, буд. 194, Бердичів, 09993",+380 (73) 054-71-02,jbezborodko@example.net
Гавриленко,Охрім,Петрович,male,1988-05-18,Фотограф,місто Жмеринка,"набережна Астрономічна, буд. 18, Білицьке, 79117",+380 12 700-06-41,vtalan@example.com
Ящук,Віталій,Григорович,male,1996-03-29,Льотчик,селище Тиврів,"вулиця Кутузова, буд. 212, Узин, 80846",825 14 87,lahodalevko@example.net
Авраменко,Амвросій,Вікторович,male,1939-11-26,Стиліст,хутір Ізюм,"провулок Косовська, буд. 5, Дружба , 40449",+380 75 337 28 97,milena33@example.org
Гайда,Олександр,Семенович,male,1994-08-10,Секретар,місто Куп'янськ,"вулиця Шишкіна 1-й, буд. 263, Токмак, 92583",+380 (68) 485-87-69,qkalenychenko@example.com
Шведченко,Амвросій,Вікторович,male,1946-11-13,Інженер,селище Чоп,"площа Краснова, буд. 5, Кам'янка-Бузька, 80257",609-30-38,nartym@example.net
Вівчаренко,Герман,Федорович,male,1945-06-16,Гірник,селище Путивль,"парк Зернова, буд. 81, Соснівка , 78226",+380 70 819 01 26,klavdiia86@example.org
Романчук,Веніямин,Юрійович,male,1986-11-15,Режисер,хутір Керч,"узвіз Залізнична, буд. 176, Городище , 94830",+380 50 848-62-93,avrelii31@example.net
Гавриленко,Хома,Григорович,male,1969-08-23,Перекладач,хутір Гуляйполе,"узвіз Сєрогодського, буд. 617 кв. 5, Мар'їнка, 23109",+380 91 331-40-26,makarvanchenko@example.com
Остапчук,Петро,Вікторович,male,1986-09-10,Кіноактор,селище Єнакієве,"провулок Ванцетті, буд. 354 кв. 492, Гола Пристань, 52119",628-09-22,tarasaleksiuk@example.com
Демиденко,Єфрем,Андрійович,male,1989-05-24,Няня,селище Новоазовськ,"площа Академіка Векслера, буд. 3, Покровськ, 73893",+380 (11) 647-18-33,shchyrytsiadmytro@example.org
Іщенко,Сергій,Анатолійович,male,1954-08-18,Громадський діяч,місто Мар'їнка,"площа Незалежності, буд. 5 кв. 65, Миронівка, 82124",000 115-27-48,ghunko@example.net
Штепа,Костянтин,Юрійович,male,2001-01-20,Епідеміолог,хутір Генічеськ,"площа Михайла Жванецького, буд. 267 кв. 6, Рава-Руська, 84469",031 635 19 60,bohuslav97@example.com
Гоголь,Давид,Іванович,male,1965-03-10,Промисловець,місто Кобеляки,"вулиця Західний 3-й, буд. 16 кв. 60, Торецьк, 58127",322 06 82,gatamaniuk@example.com
Ільченко,Юхим,Анатолійович,male,1998-10-10,Фермер,хутір Винники,"шосе Куликовський 2-й, буд. 32 кв. 43, Валки , 69721",035 234 33 79,chumakvladyslav@example.net
Лаба,Яків,Антонович,male,1959-08-29,Математик,селище Острог,"парк Шкільний, буд. 860, Житомир, 34636",647 41 59,iakiv07@example.org
Овсієнко,Валентин,Дамирович,male,1960-05-20,Електромонтер,село Галич,"провулок Удільний, буд. 7, Знам'янка, 70832",+380 (33) 104-42-97,onysymieresko@example.org
Сірко,Лесь,Сергійович,male,1986-05-20,Модель,хутір Галич,"узвіз ПшеничнаРадищева, буд. 45, Дрогобич, 16698",+380 42 183-68-30,sartym@example.net
Шевченко,Остап,Семенович,male,2008-02-28,Сантехнік,місто Черкаси,"узвіз Ботанічний, буд. 378 кв. 527, Керч, 76781",+380 (36) 894-24-63,emiliia26@example.org
Перебийніс,Роман,Федорович,male,1997-08-01,Модельєр,місто Новояворівськ,"сквер Сьома, буд. 11, Чорнобиль, 24153",+380 17 834 26 47,romanavramchuk@example.net
Баранець,Микита,Артемович,male,2000-10-28,Дизайнер,хутір Перемишляни,"площа Дачна, буд. 87 кв. 62, Керч, 03119",+380 06 329-30-89,gvasylevych@example.com
Зубко,Климент,Дмитрович,male,1976-06-23,Єгер,місто Люботин,"провулок Тарутинська, буд. 6, Куп'янськ, 34707",+380 (89) 483-38-99,veniiamyn26@example.com
Ковпак,Лукʼян,Юрійович,male,1952-06-22,Бібліотекар,село Дніпрорудне,"проспект Ширшова, буд. 851, Христинівка, 89173",+380 (57) 007-39-44,iermolenkomilena@example.org
Петренко,Василь,Олександрович,male,1944-01-07,Мистецтвознавець,селище Христинівка,"вулиця Троїцького Миколи, буд. 847 кв. 40, Харцизьк, 15008",+380 42 105 30 67,pavlenkoviacheslav@example.net
Макаренко,Ярослав,Дмитрович,male,1986-10-05,Публіцист,селище Попасна,"провулок Горизонтальна, буд. 0 кв. 685, Стрий, 69903",+380 (75) 829-13-30,aonishchuk@example.org
Вахній,Панас,Семенович,male,1952-09-28,Паблік рилейшнз,селище Буськ,"сквер Сибірська, буд. 962 кв. 1, Зміїв, 94169",+380 95 922-39-25,ihnatbaidak@example.org
Скиба,Олександр,Антонович,male,1957-07-27,Слідчий,місто Рені,"вулиця Краснослобідська, буд. 242, Дебальцеве, 64657",599-24-18,iustymzaiets@example.com
Швайка,Франц,Семенович,male,1951-03-23,Детектив,місто Пустомити,"проспект Проектна 2-га, буд. 78, Берегове, 87194",947-39-43,avramenkozakhar@example.com
Стус,Ігор,Петрович,male,2007-04-14,Продюсер,місто Болехів,"парк Балтський 7-й, буд. 38, Каховка, 77785",+380 (00) 441-23-77,mykhailynaduplii@example.com
Юрчишин,Микита,Опанасович,male,2002-01-17,Модель,селище Дубровиця,"сквер Ольгіївська, буд. 528, Трускавець, 65079",090 862 19 80,abrahamovskaostap@example.org
Вітер,Дан,Остапович,male,1993-01-23,Складальник,місто Решетилівка,"вулиця Олександра Невського 5-й, буд. 2, Богодухів, 80192",026-89-49,zgalagan@example.net
Бабій,Арсен,Юрійович,male,1988-09-02,Єгер,село Нова Каховка,"проспект Льва Симиренка, буд. 4 кв. 566, Єнакієве, 05772",234-89-72,bohuslavfilipenko@example.org
Ващук,Леопольд,Вячеславович,male,1956-05-04,Живописець,село Очаків,"узвіз Маковий, буд. 47 кв. 935, Бережани, 73946",+380 21 280 67 98,rbazavluchenko@example.net
Комар,Гліб,Андрійович,male,1977-08-06,Музикант,село Горохів,"парк Олександра Стурдзи, буд. 659 кв. 106, Батурин, 44157",+380 (07) 135-64-25,tpustovit@example.net
Тимченко,Яків,Григорович,male,1946-09-15,Драматург,селище Павлоград,"сквер Перемоги, буд. 3, Боярка, 39883",+380 (96) 021-89-59,milena33@example.com
Гоголь-Яновська,Гордій,Семенович,male,1984-08-14,Няня,хутір Сновськ,"парк Матеріальний 1-й, буд. 98 кв. 481, Миколаївка , 07550",019 456 98 46,dankivillia@example.com
Юрчишин,Панас,Олександрович,male,1965-10-16,Режисер,хутір Борзна,"вулиця Південна дорога, буд. 30, Кіцмань, 59645",036 206-82-32,zlatoslavahavryshkevych@example.com
Вітрук,Онисим,Дамирович,male,2001-05-18,Композитор,хутір Дніпро ,"шосе Посмітного, буд. 6 кв. 73, Підгородне, 03620",306-39-21,ctryhub@example.com
Василечко,Панас,Анатолійович,male,1991-03-12,Гицель,хутір Саки ,"провулок Північна, буд. 240, Дрогобич, 51437",593 15 62,markoskyba@example.com
Рудик,Ігнат,Андрійович,male,1998-08-02,Промисловець,селище Сорокине,"провулок Аеропортівський 1-й, буд. 9 кв. 82, Скалат, 19231",+380 40 598 51 44,leopold72@example.org
Ажажа,Августин,Миколайович,male,2004-06-26,Історик,місто Городок,"шосе Лиманна, буд. 55 кв. 025, Шостка, 12733",+380 (81) 918-90-05,aarontverdokhlib@example.com
Архимович,Кирило,Юрійович,male,1964-11-01,Гицель,селище Ялта,"проспект Колективний, буд. 51, Генічеськ, 55519",070 903-30-75,orest99@example.org
Верменич,Веніямин,Вячеславович,male,1944-03-09,Ді-джей,село Скадовськ,"вулиця Золотий берег, буд. 1 кв. 01, Самбір, 25652",060 42 73,oneporozhnii@example.net
Тихий,Теодор,Федорович,male,1942-08-24,Круп'є,місто Святогірськ,"провулок Західний 4-й, буд. 8 кв. 1, Хмельницький, 64444",+380 (68) 571-44-12,nsalii@example.org
Андрощук,Іван,Федорович,male,1942-06-11,Ботанік,хутір Корюківка,"провулок Яблучна, буд. 7 кв. 17, Козятин, 96811",+380 (13) 139-74-76,leopoldiashchuk@example.org
Баклан,Августин,Анатолійович,male,1954-04-12,Педагог,село Білогірськ,"площа Ростовська, буд. 27 кв. 24, Зміїв, 38057",072 308-11-18,spas71@example.net
Ющенко,Станіслав,Федорович,male,1985-05-01,Бібліограф,місто Моспине,"проспект Локальна, буд. 0, Лисичанськ, 14076",+380 (23) 555-45-08,okseniiabarannyk@example.net
Гайдай,Олекса,Іванович,male,1993-02-20,Географ,місто Подільськ,"набережна Лінійна, буд. 67, Нікополь, 26397",+380 (93) 921-22-85,pylypiakymchuk@example.net
Коваленко,Ілля,Сергійович,male,1977-09-08,Швачка,селище Фастів,"проспект Бірюкова, буд. 569 кв. 32, Амвросіївка, 54457",+380 (42) 972-97-07,chabannestor@example.net
Товстуха,Вʼячеслав,Дмитрович,male,1990-03-04,Кінокритик,місто Івано-Франківськ,"проспект Восьмого березня 1-й, буд. 77 кв. 12, Деражня, 64549",+380 (13) 583-41-21,tymofii27@example.net
Вдовенко,Пилип,Олександрович,male,1952-12-17,Маркетолог,село Білицьке,"площа Кленова, буд. 614, Чернігів, 62034",074 911 03 56,viacheslavvernydub@example.net
Романець,Сергій,Миколайович,male,1984-03-19,Штукатур,село Новоселиця,"сквер Казанська, буд. 1 кв. 165, Батурин, 91090",088 279-57-14,vernydubbohdan@example.com
Ковалюк,Дмитро,Дмитрович,male,1995-03-26,Дизайнер,село Могилів-Подільський,"вулиця Контрадмірала Луніна, буд. 96, Кривий Ріг, 86125",+380 (63) 449-66-50,edytaieshchenko@example.org
Бебешко,Павло,Остапович,male,2001-11-12,Візажист,село Буськ,"парк Ботанічний, буд. 346 кв. 0, Херсон, 32626",035 734-14-77,panteleimon34@example.org
Шинкаренко,Володимир,Сергійович,male,1949-05-22,Няня,хутір Пирятин,"вулиця Щукіна, буд. 6, Сокаль, 42989",098 152 51 71,daryna39@example.org
Баклан,Мирослав,Миколайович,male,2000-11-16,Бухгалтер,село Кодима,"площа Крушельницької, буд. 3, Козятин, 01930",+380 39 923 97 30,dzaruba@example.net
Яценюк,Валентин,Олександрович,male,1983-09-19,Піаніст,селище Покров,"сквер Картамишевський, буд. 90, Тернівка , 89646",+380 (83) 066-37-69,kamillakolesnychenko@example.net
Абрагамовський,Варфоломій,Петрович,male,2005-08-10,Психолог,село Горохів,"узвіз Лінія 31-ша, буд. 747 кв. 8, Валки , 54975",+380 (99) 249-72-89,lvakarchuk@example.com
Даниленко,Ростислав,Сергійович,male,1957-11-02,Намотувальник,місто Гребінка,"шосе Херсонський сквер, буд. 564, Слов'янськ, 43061",+380 25 192-88-87,zatulamyron@example.net
Бабак,Опанас,Вікторович,male,2003-08-03,Електрослюсар,селище Молодогвардійськ,"провулок Шишкіна, буд. 8, Сєвєродонецьк, 05613",+380 54 802-17-43,dmytromatiash@example.com
Адамчук,Максим,Миколайович,male,1947-10-26,Лікар,село Енергодар,"вулиця Олександра Невського, буд. 7, Джанкой, 58551",678 36 31,albinamedvedenko@example.com
Туркало,Дмитро,Анатолійович,male,1978-03-03,Флорист,селище Червоноград,"провулок Лінія 32-га, буд. 4 кв. 755, Залізне, 43079",+380 31 698-47-17,habelkoiarema@example.net
Балабан,Віталій,Сергійович,male,1961-09-12,Лікар,село Гребінка,"провулок Олександра Невського, буд. 6, Тростянець, 20173",+380 87 760-63-38,bpylypenko@example.org
Штепа,Олександр,Васильович,male,1980-07-04,Локсмайстер,село Каховка,"проспект Ломоносова, буд. 2, Кривий Ріг, 47769",002 166 87 83,mzinchenko@example.com
Євдокименко,Лукʼян,Антонович,male,2004-03-11,Піаніст,хутір Рава-Руська,"шосе 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Ходорів, 35753",+380 90 271 72 30,makar75@example.com
Андрусенко,Лукʼян,Петрович,male,1994-10-31,Юрист,місто Люботин,"парк Ціолковського, буд. 15, Корець, 71863",084 550 55 31,ohavrysh@example.net
Ірванець,Борис,Семенович,male,2001-12-31,Випробувач,місто Кременчук,"вулиця Казковий, буд. 880, Новий Калинів, 62219",+380 95 160-30-81,adamaleksandrenko@example.org
Гузенко,Теодор,Вячеславович,male,2007-11-10,Головний меркшейдер,село Маріуполь,"проспект Професора Коровицького, буд. 781, Заставна, 64394",071 720 48 09,ievadrobiazko@example.com
Адамчук,Олекса,Миколайович,male,1948-07-30,Пекар,хутір Кипуче,"проспект Довга, буд. 3 кв. 53, Болехів, 77425",+380 19 363-48-37,eduard33@example.org
Андрусенко,Мирон,Анатолійович,male,1993-07-06,Ді-джей,хутір Першотравенськ,"набережна Супутників, буд. 44 кв. 93, Судак , 68122",015 628 01 66,akymenkoleontii@example.net
Акуленко,Соломон,Іванович,male,2006-09-30,Астроном,місто Березне,"набережна Отрада, буд. 8, Сорокине, 99951",096 777 98 52,babarychenkonestor@example.org
Швайка,Пантелеймон,Федорович,male,1973-03-01,Біолог,село Монастириська,"набережна Заводська 5-та, буд. 6, Бобринець, 21018",063 317-94-60,arsen54@example.net
Шухевич,Ігор,Іванович,male,2001-11-04,Акушер,хутір Іловайськ,"вулиця Пересипський 1-й, буд. 18, Гірник , 79656",473-12-94,nataliiasatsiuk@example.org
Дрозденко,Георгій,Андрійович,male,1957-10-01,Палеонтолог,село Білогірськ,"провулок Весела, буд. 268 кв. 03, Судова Вишня, 73021",050 07 88,liliiadashkevych@example.net
Вишняк,Степан,Семенович,male,1984-10-26,Ветеринар,селище Батурин,"проспект Діхтієвського Віктора, буд. 5, Первомайський , 36049",010 875 34 75,iefremvalenko@example.net
Гавришкевич,Яків,Семенович,male,1960-07-31,Інженер,хутір Любомль,"провулок Складська, буд. 7, Кам'янка-Бузька, 93302",060 498-70-28,herman52@example.com
Дубенко,Андрій,Андрійович,male,1976-03-17,Детектив,селище Бучач,"набережна Олександра Невського, буд. 050 кв. 951, Тиврів, 47627",+380 (43) 911-32-76,stanislav67@example.com
